# stage1_psx_texture_key_map_v1
# source_key64	rel_path	source_w	source_h	score
015D000003940024	c5c9f122_a314ba32_84_42_0.png	84	42	0.036682
01A6000003A4003C	32e2c7ad_4f98344f_100_61_0.png	100	61	0.084329
01A6000003A4003D	32e2c7ad_0c6cbfcb_100_61_0.png	100	61	0.084311
02C00088035C0082	8acd6b79_3a4736b6_172_84_0.png	172	84	0.048171
0340000003600079	38b7b452_872ee166_96_134_0.png	96	134	0.048542
03800163010401F0	67cf2cfc_1dca5370_20_20_0.png	20	20	0.292653
03800163010401FA	67cf2cfc_1dca5370_20_20_0.png	20	20	0.056455
03800177016801F8	b30e248e_14dda82e_120_20_0.png	120	20	0.282767
0380018B016801F9	b30e248e_14dda82e_120_20_0.png	120	20	0.262923
03850163010401F1	43837b17_9e68a7c0_20_20_0.png	20	20	0.299105
03850163010401FB	43837b17_9e68a7c0_20_20_0.png	20	20	0.045358
038A0163010401E4	1d616932_83d1094e_20_20_0.png	20	20	0.034409
038A0163010401F2	67cf2cfc_1dca5370_20_20_0.png	20	20	0.296164
038F0163010401E5	4228383c_8bb7eb74_20_20_0.png	20	20	0.028146
03940163010401E4	1d616932_83d1094e_20_20_0.png	20	20	0.276985
0394019F010401E4	1d616932_83d1094e_20_20_0.png	20	20	0.333324
039401B3010401E4	1d616932_83d1094e_20_20_0.png	20	20	0.308854
039401C7010401E4	1d616932_83d1094e_20_20_0.png	20	20	0.446311
039401DB010401E4	1d616932_83d1094e_20_20_0.png	20	20	0.353594
03990163010401E5	4228383c_8bb7eb74_20_20_0.png	20	20	0.429210
0399019F010401E5	4228383c_8bb7eb74_20_20_0.png	20	20	0.480049
039901B3010401E5	4228383c_8bb7eb74_20_20_0.png	20	20	0.404099
039901C7010401E5	4228383c_8bb7eb74_20_20_0.png	20	20	0.206284
039901DB010401E5	4228383c_8bb7eb74_20_20_0.png	20	20	0.376847
039E01EB010401E4	1d616932_83d1094e_20_20_0.png	20	20	0.417629
03A301EB010401E5	4228383c_8bb7eb74_20_20_0.png	20	20	0.280983
03B2014B010401E6	67cf2cfc_1dca5370_20_20_0.png	20	20	0.278508
03B2015F010401E7	43837b17_9e68a7c0_20_20_0.png	20	20	0.287203
03B20173010401E0	67cf2cfc_1dca5370_20_20_0.png	20	20	0.282917
03B2019B010401F5	67cf2cfc_1dca5370_20_20_0.png	20	20	0.423232
03B201AF010401F6	43837b17_9e68a7c0_20_20_0.png	20	20	0.428909
03B201C3010401F5	67cf2cfc_1dca5370_20_20_0.png	20	20	0.342454
03B201D7010401F6	43837b17_9e68a7c0_20_20_0.png	20	20	0.460077
03B7014B010401F5	67cf2cfc_1dca5370_20_20_0.png	20	20	0.304151
03B7015F010401F6	43837b17_9e68a7c0_20_20_0.png	20	20	0.401241
03B70173010401F5	67cf2cfc_1dca5370_20_20_0.png	20	20	0.381186
03B70187010401F6	43837b17_9e68a7c0_20_20_0.png	20	20	0.401933
03B7019B010401F5	67cf2cfc_1dca5370_20_20_0.png	20	20	0.435990
03B701AF010401F6	43837b17_9e68a7c0_20_20_0.png	20	20	0.296363
03B701C3010401F5	67cf2cfc_1dca5370_20_20_0.png	20	20	0.439099
03B701D7010401F6	43837b17_9e68a7c0_20_20_0.png	20	20	0.357374
03C001A9016401D3	c57c8591_5bce181a_84_34_0.png	84	34	0.159418
03C001CB01E001CA	d474c6e2_5bce181a_208_36_0.png	208	36	0.105702
03D501A9017C01D0	6e57fd59_5bce181a_76_34_0.png	76	34	0.198177
1E60DF2F4611CFDE	32e2c7ad_0c6cbfcb_100_61_0.png	100	61	0.084311
1ED0C8B6D5D1F7BF	9ab3bd81_689b6bf7_76_5_0.png	76	5	0.043020
5D5ACE764D082E0E	b7532840_f5be00aa_39_39_0.png	39	39	0.035456
628760053FFDAF1D	8acd6b79_3a4736b6_172_84_0.png	172	84	0.048171
638678D02A1998AC	c5c9f122_a314ba32_84_42_0.png	84	42	0.036682
8D6DE92D7A276200	c57c8591_5bce181a_84_34_0.png	84	34	0.159418
91C38A8759F6CE9D	9ab3bd81_689b6bf7_76_5_0.png	76	5	0.043020
A077A86779464C60	b7532840_f5be00aa_39_39_0.png	39	39	0.035456
A5E39208E99C01C0	efa0254f_df3b94d7_39_39_0.png	39	39	0.033306
A6EB2F55EA461BE0	d474c6e2_5bce181a_208_36_0.png	208	36	0.105702
B660CA102552683C	84d4ee15_2b314431_43_42_0.png	43	42	0.019231
C466F21B993B9F9C	6e57fd59_5bce181a_76_34_0.png	76	34	0.198177
C66F97EA27493C2E	efa0254f_df3b94d7_39_39_0.png	39	39	0.033306
CF37172F4C40CC3E	84d4ee15_2b314431_43_42_0.png	43	42	0.019231
E39D3B074B7B2974	38b7b452_872ee166_96_134_0.png	96	134	0.048542
F9AF0C39BDEC3A9E	32e2c7ad_4f98344f_100_61_0.png	100	61	0.084329
