# id	verdict	label	source_keys	source_w	source_h	score	rel_path
cand_0001		tmd:(7, 31040, 196, 185, 43, 42)	CF37172F4C40CC3E;B660CA102552683C	43	42	0.019231	84d4ee15_2b314431_43_42_0.png
cand_0002		tmd:(22, 31617, 208, 160, 39, 39)	A5E39208E99C01C0;C66F97EA27493C2E	39	39	0.033306	efa0254f_df3b94d7_39_39_0.png
cand_0003		tmd:(22, 31809, 168, 200, 39, 39)	A077A86779464C60;5D5ACE764D082E0E	39	39	0.035456	b7532840_f5be00aa_39_39_0.png
cand_0004		tmd:(8, 30786, 80, 0, 63, 102)	E4A8F130B118E244;9798783D6EB932BA	63	102	0.035879	5c145c09_00e0aa1f_63_102_0.png
cand_0005		template-subrect:Template(attr=1342177344, tex_x_hw=349, tex_y_px=0, w=84, h=42, clut_x_px=960, clut_y_px=14):0	015D000003940024;638678D02A1998AC	84	42	0.036682	c5c9f122_a314ba32_84_42_0.png
cand_0006		template:Template(attr=1342177344, tex_x_hw=349, tex_y_px=0, w=84, h=42, clut_x_px=960, clut_y_px=14)	015D000003940024;638678D02A1998AC	84	42	0.036682	c5c9f122_a314ba32_84_42_0.png
cand_0007		tmd:(8, 30786, 80, 0, 61, 103)	E4A1E230B112AA19;979F793D6EBF531B	61	103	0.036786	de7dc28b_00e0aa1f_61_103_0.png
cand_0008		tmd:(22, 31681, 208, 200, 39, 39)	F7214B3C7BEAE0C8;BF622EB50BC26A36	39	39	0.037013	d915aab9_df3b94d7_39_39_0.png
cand_0009		tmd:(8, 30786, 80, 0, 60, 103)	E4A60230B116C950;97A2693D6EC16DC2	60	103	0.037050	7199c224_00e0aa1f_60_103_0.png
cand_0010		tmd:(22, 31745, 168, 160, 39, 39)	1DD13B03959A8F28;2690142EDEA94456	39	39	0.039458	a482231c_f5be00aa_39_39_0.png
cand_0011		tmd:(5, 31168, 120, 172, 76, 5)	91C38A8759F6CE9D;1ED0C8B6D5D1F7BF	76	5	0.043020	9ab3bd81_689b6bf7_76_5_0.png
cand_0012		template-subrect:Template(attr=1342177344, tex_x_hw=704, tex_y_px=136, w=172, h=84, clut_x_px=1008, clut_y_px=214):0	02C00088035C0082;628760053FFDAF1D	172	84	0.048171	8acd6b79_3a4736b6_172_84_0.png
cand_0013		template:Template(attr=1342177344, tex_x_hw=704, tex_y_px=136, w=172, h=84, clut_x_px=1008, clut_y_px=214)	02C00088035C0082;628760053FFDAF1D	172	84	0.048171	8acd6b79_3a4736b6_172_84_0.png
cand_0014		template-subrect:Template(attr=1358954560, tex_x_hw=832, tex_y_px=0, w=96, h=134, clut_x_px=768, clut_y_px=255):0	0340000003600079;E39D3B074B7B2974	96	134	0.048542	38b7b452_872ee166_96_134_0.png
cand_0015		template:Template(attr=1358954560, tex_x_hw=832, tex_y_px=0, w=96, h=134, clut_x_px=768, clut_y_px=255)	0340000003600079;E39D3B074B7B2974	96	134	0.048542	38b7b452_872ee166_96_134_0.png
cand_0016		template-subrect:Template(attr=1342177344, tex_x_hw=1021, tex_y_px=385, w=8, h=8, clut_x_px=288, clut_y_px=481):0	03FD0181012801E9;8A52B45DD8AB57E1	8	8	0.057549	ddaf3463_5bce181a_8_8_0.png
cand_0017		template:Template(attr=1342177344, tex_x_hw=1021, tex_y_px=385, w=8, h=8, clut_x_px=288, clut_y_px=481)	03FD0181012801E9;8A52B45DD8AB57E1	8	8	0.057549	ddaf3463_5bce181a_8_8_0.png
cand_0018		tmd:(9, 31746, 0, 150, 95, 95)	58E45C408112CA74;4D4E9FC0BC5C8EF6	95	95	0.081480	ebee044c_4fffc085_95_95_0.png
cand_0019		template-subrect:Template(attr=1342177344, tex_x_hw=422, tex_y_px=0, w=100, h=61, clut_x_px=960, clut_y_px=0):0	01A6000003A4003D;1E60DF2F4611CFDE	100	61	0.084311	32e2c7ad_0c6cbfcb_100_61_0.png
cand_0020		template:Template(attr=1342177344, tex_x_hw=422, tex_y_px=0, w=100, h=61, clut_x_px=960, clut_y_px=0)	01A6000003A4003D;1E60DF2F4611CFDE	100	61	0.084311	32e2c7ad_0c6cbfcb_100_61_0.png
cand_0021		template-subrect:Template(attr=1342177344, tex_x_hw=422, tex_y_px=0, w=100, h=61, clut_x_px=960, clut_y_px=1):0	01A6000003A4003C;F9AF0C39BDEC3A9E	100	61	0.084329	32e2c7ad_4f98344f_100_61_0.png
cand_0022		template:Template(attr=1342177344, tex_x_hw=422, tex_y_px=0, w=100, h=61, clut_x_px=960, clut_y_px=1)	01A6000003A4003C;F9AF0C39BDEC3A9E	100	61	0.084329	32e2c7ad_4f98344f_100_61_0.png
cand_0023		tmd:(8, 30978, 80, 103, 64, 104)	B5066521A113F22C;3D496F36211A40D6	64	104	0.091480	10520158_61f38312_64_104_0.png
cand_0024		tmd:(9, 31810, 0, 150, 96, 96)	302D7BE4BEB0FD7E;7757AB600EC83780	96	96	0.105637	deaf331b_e13e8dc0_96_96_0.png
cand_0025		template-subrect:Template(attr=1342177344, tex_x_hw=960, tex_y_px=459, w=208, h=36, clut_x_px=304, clut_y_px=494):0	03C001CB01E001CA;A6EB2F55EA461BE0	208	36	0.105702	d474c6e2_5bce181a_208_36_0.png
cand_0026		template:Template(attr=1342177344, tex_x_hw=960, tex_y_px=459, w=208, h=36, clut_x_px=304, clut_y_px=494)	03C001CB01E001CA;A6EB2F55EA461BE0	208	36	0.105702	d474c6e2_5bce181a_208_36_0.png
cand_0027		tmd:(22, 31937, 127, 179, 40, 19)	0239E24F66466DB5;F24ADA042E0888D7	40	19	0.129942	c8804f64_99ff79c3_40_19_0.png
cand_0028		tmd:(12, 31554, 128, 0, 127, 155)	A5C68707DDAAC42F;8D5CFA6240F8831D	127	155	0.143392	b577a082_f70f2cb7_127_155_0.png
cand_0029		tmd:(12, 31490, 0, 0, 128, 156)	75D5FF93A35C66B9;5D5EEEEE069EBAFF	128	156	0.151893	23e1d321_5e6c8752_128_156_0.png
cand_0030		template-subrect:Template(attr=1342177344, tex_x_hw=960, tex_y_px=425, w=84, h=34, clut_x_px=304, clut_y_px=497):0	03C001A9016401D3;8D6DE92D7A276200	84	34	0.159418	c57c8591_5bce181a_84_34_0.png
cand_0031		template:Template(attr=1342177344, tex_x_hw=960, tex_y_px=425, w=84, h=34, clut_x_px=304, clut_y_px=497)	03C001A9016401D3;8D6DE92D7A276200	84	34	0.159418	c57c8591_5bce181a_84_34_0.png
cand_0032		tmd:(8, 31234, 144, 0, 79, 199)	6E5093E0327C4587;632630F7B04764FD	79	199	0.164167	0b878749_fbbced0d_79_199_0.png
cand_0033		tmd:(6, 30848, 196, 185, 43, 42)	628CC41B5DF30307;F2C5EC8C2CD4446D	43	42	0.191743	84d4ee15_2b314431_43_42_0.png
cand_0034		tmd:(22, 31873, 127, 159, 40, 19)	D8862D1A371EFDF1;26D3BF8A82C6B613	40	19	0.194737	06096c7a_99ff79c3_40_19_0.png
cand_0035		template-subrect:Template(attr=1342177344, tex_x_hw=343, tex_y_px=256, w=28, h=12, clut_x_px=960, clut_y_px=5):1	014B010003DC0009;B5D7B4746B3333B2	28	12	0.197484	3baa49d9_424718c5_28_12_0.png
cand_0036		template-subrect:Template(attr=1342177344, tex_x_hw=981, tex_y_px=425, w=76, h=34, clut_x_px=304, clut_y_px=498):0	03D501A9017C01D0;C466F21B993B9F9C	76	34	0.198177	6e57fd59_5bce181a_76_34_0.png
