# id	source_key	kind	w	h	detail
rt_0001	03800163010401FA	template_atlas_rect	20	20	attr=0x10000040 texHW=896 texY=355 tpl=20x20 clutXY=272,494 tpage=0x001E clut=0x7B91 rect=0,99,20,20 keySub=0,0
rt_0002	03850163010401FB	template_atlas_rect	20	20	attr=0x10000040 texHW=901 texY=355 tpl=20x20 clutXY=272,495 tpage=0x001E clut=0x7BD1 rect=20,99,20,20 keySub=0,0
rt_0003	038A0163010401E4	template_atlas_rect	20	20	attr=0x10000040 texHW=906 texY=355 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=40,99,20,20 keySub=0,0
rt_0004	038F0163010401E5	template_atlas_rect	20	20	attr=0x10000040 texHW=911 texY=355 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=60,99,20,20 keySub=0,0
rt_0005	03940163010401E4	template_atlas_rect	20	20	attr=0x10000040 texHW=916 texY=355 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=80,99,20,20 keySub=0,0
rt_0006	03990163010401E5	template_atlas_rect	20	20	attr=0x10000040 texHW=921 texY=355 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=100,99,20,20 keySub=0,0
rt_0007	0394019F010401E4	template_atlas_rect	20	20	attr=0x10000040 texHW=916 texY=415 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=80,159,20,20 keySub=0,0
rt_0008	0399019F010401E5	template_atlas_rect	20	20	attr=0x10000040 texHW=921 texY=415 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=100,159,20,20 keySub=0,0
rt_0009	039401B3010401E4	template_atlas_rect	20	20	attr=0x50000040 texHW=916 texY=435 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=80,179,20,20 keySub=0,0
rt_0010	039901B3010401E5	template_atlas_rect	20	20	attr=0x50000040 texHW=921 texY=435 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=100,179,20,20 keySub=0,0
rt_0011	039401C7010401E4	template_atlas_rect	20	20	attr=0x50000040 texHW=916 texY=455 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=80,199,20,20 keySub=0,0
rt_0012	039901C7010401E5	template_atlas_rect	20	20	attr=0x50000040 texHW=921 texY=455 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=100,199,20,20 keySub=0,0
rt_0013	039401DB010401E4	template_atlas_rect	20	20	attr=0x50000040 texHW=916 texY=475 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=80,219,20,20 keySub=0,0
rt_0014	039901DB010401E5	template_atlas_rect	20	20	attr=0x50000040 texHW=921 texY=475 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=100,219,20,20 keySub=0,0
rt_0015	039E01EB010401E4	template_atlas_rect	20	20	attr=0x50000040 texHW=926 texY=491 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=120,235,20,20 keySub=0,0
rt_0016	03A301EB010401E5	template_atlas_rect	20	20	attr=0x50000040 texHW=931 texY=491 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=140,235,20,20 keySub=0,0
rt_0017	039E014B01040140	template_atlas_rect	20	160	attr=0x10000040 texHW=926 texY=331 tpl=20x160 clutXY=272,480 tpage=0x001E clut=0x7811 rect=120,75,20,160 keySub=0,0
rt_0018	03A3014B01040143	template_atlas_rect	20	160	attr=0x10000040 texHW=931 texY=331 tpl=20x160 clutXY=272,483 tpage=0x001E clut=0x78D1 rect=140,75,20,160 keySub=0,0
rt_0019	03B70173010401F5	template_atlas_rect	20	20	attr=0x10000040 texHW=951 texY=371 tpl=20x20 clutXY=272,481 tpage=0x001E clut=0x7851 rect=220,115,20,20 keySub=0,0
rt_0020	03B7015F010401F6	template_atlas_rect	20	20	attr=0x10000040 texHW=951 texY=351 tpl=20x20 clutXY=272,482 tpage=0x001E clut=0x7891 rect=220,95,20,20 keySub=0,0
rt_0021	03B70187010401F6	template_atlas_rect	20	20	attr=0x10000040 texHW=951 texY=391 tpl=20x20 clutXY=272,482 tpage=0x001E clut=0x7891 rect=220,135,20,20 keySub=0,0
rt_0022	03B7014B010401F5	template_atlas_rect	20	20	attr=0x10000040 texHW=951 texY=331 tpl=20x20 clutXY=272,481 tpage=0x001E clut=0x7851 rect=220,75,20,20 keySub=0,0
rt_0023	03B7019B010401F5	template_atlas_rect	20	20	attr=0x10000040 texHW=951 texY=411 tpl=20x20 clutXY=272,481 tpage=0x001E clut=0x7851 rect=220,155,20,20 keySub=0,0
rt_0024	03B201D7010401F6	template_atlas_rect	20	20	attr=0x10000040 texHW=946 texY=471 tpl=20x20 clutXY=272,482 tpage=0x001E clut=0x7891 rect=200,215,20,20 keySub=0,0
rt_0025	03B701C3010401F5	template_atlas_rect	20	20	attr=0x10000040 texHW=951 texY=451 tpl=20x20 clutXY=272,481 tpage=0x001E clut=0x7851 rect=220,195,20,20 keySub=0,0
rt_0026	03B201C3010401F5	template_atlas_rect	20	20	attr=0x10000040 texHW=946 texY=451 tpl=20x20 clutXY=272,481 tpage=0x001E clut=0x7851 rect=200,195,20,20 keySub=0,0
rt_0027	03B701AF010401F6	template_atlas_rect	20	20	attr=0x10000040 texHW=951 texY=431 tpl=20x20 clutXY=272,482 tpage=0x001E clut=0x7891 rect=220,175,20,20 keySub=0,0
rt_0028	03B201AF010401F6	template_atlas_rect	20	20	attr=0x10000040 texHW=946 texY=431 tpl=20x20 clutXY=272,482 tpage=0x001E clut=0x7891 rect=200,175,20,20 keySub=0,0
rt_0029	03B701D7010401F6	template_atlas_rect	20	20	attr=0x10000040 texHW=951 texY=471 tpl=20x20 clutXY=272,482 tpage=0x001E clut=0x7891 rect=220,215,20,20 keySub=0,0
rt_0030	03B2019B010401F5	template_atlas_rect	20	20	attr=0x10000040 texHW=946 texY=411 tpl=20x20 clutXY=272,481 tpage=0x001E clut=0x7851 rect=200,155,20,20 keySub=0,0
rt_0031	03B2014B010401E6	template_atlas_rect	20	20	attr=0x00000040 texHW=946 texY=331 tpl=20x20 clutXY=272,498 tpage=0x001E clut=0x7C91 rect=200,75,20,20 keySub=0,0
rt_0032	03B2015F010401E7	template_atlas_rect	20	20	attr=0x00000040 texHW=946 texY=351 tpl=20x20 clutXY=272,499 tpage=0x001E clut=0x7CD1 rect=200,95,20,20 keySub=0,0
