# Stage1 external HD subtitles exported from COMOD1.BIN.
# Fill the final text column for translated rows. Blank text rows are ignored by the runtime.
language	scope	mode	frame30	duration	text_index	text_id	psx_addr	original_language	original_text	text
CN	movie1	0	3	80	1	*	0x801C3D30	EN	I need to become a hero!	我必须变成真正的大英雄！
CN	movie1	0	242	67	2	*	0x801C3D28	EN	Scram!!	滚开！！
CN	movie1	0	309	30	3	*	0x801C3D20	EN	Yeah!	没错！
CN	movie1	0	387	85	4	*	0x801C3CFC	EN	Well, well.\nWhat do we have here...	哟，瞧瞧，\n这是谁在这儿呢……
CN	movie1	0	472	86	5	*	0x801C3CD0	EN	Plenty of munchies\nfor everyone, right??	这么多好吃的，\n见者有份，对吧？？
CN	movie1	0	558	30	6	*	0x801C3D20	EN	Yeah!	没错！
CN	movie1	0	600	56	7	*	0x801C3CA8	EN	Not only munchies\nbut a little babe,	不光有点心，\n还有个漂亮小妞，
CN	movie1	0	656	75	8	*	0x801C3C7C	EN	all dressed up for us,\nain't that right??	特意为哥几个打扮的，\n是不是啊？？
CN	movie1	0	731	34	9	*	0x801C3C74	EN	Right!!	没错！！
CN	movie1	0	764	30	10	*	0x801C3C60	EN	What do you say?	怎么样？
CN	movie1	0	794	100	11	*	0x801C3C24	EN	How about if you and I go\nfor a little walk outside, huh?	要不你跟哥哥我\n去外面散个小步，哈？
CN	movie1	0	894	81	12	*	0x801C3BFC	EN	Let the punks stay\nand eat their food!	让那群软蛋留在这儿\n吃他们的剩饭去吧！
CN	movie1	0	975	43	13	*	0x801C3BF0	EN	Stop it!	住手！
CN	movie1	0	1048	45	14	*	0x801C3BD4	EN	There is no need to fear!!	根本无需恐惧！！
CN	movie1	0	1217	86	15	*	0x801C3BB8	EN	Because Joe Chin is here!!	因为本大爷乔伊·陈闪亮登场！！
CN	movie1	0	1304	58	16	*	0x801C3BA8	EN	Hey, it's Joe!	嘿，是乔伊！
CN	movie1	0	1364	55	17	*	0x801C3B84	EN	I have travelled the Seven Seas,	我曾纵横七大洋，
CN	movie1	0	1419	66	18	*	0x801C3B58	EN	I have crossed every mountain\nknown to man,	征服过人类已知的每一座崇山，
CN	movie1	0	1485	55	19	*	0x801C3B28	EN	and I know that the mighty powers\nthat I have	我深知自己拥有的神圣力量，
CN	movie1	0	1540	63	20	*	0x801C3B08	EN	are enough for jerks like you.	收拾你们这帮无赖绰绰有余。
CN	movie1	0	1603	58	21	*	0x801C3AE0	EN	I shall put on my magic gloves\nof glory	我将戴上承载荣耀的魔法拳套，
CN	movie1	0	1661	112	22	*	0x801C3AA8	EN	and shall take you on a cruise\nto destroy all of you.	带你们来一场彻底毁灭的巡航。
CN	movie1	0	1773	69	23	*	0x801C3A64	EN	Now, let me tell you of this one\nincident at this coffee shop......	现在，让我给你们讲讲\n那次在咖啡馆里发生的事……
CN	movie1	0	1842	27	24	*	0x801C3A40	EN	$$%*?$%*&^%!*$?*\n&^&&!*&%?$%*^%!$	$$%*?$%*&^%!*$?*\n&^&&!*&%?$%*^%!$
CN	movie1	0	1869	27	25	*	0x801C3A1C	EN	?*!%?!%&*&^%?!^%\n*&!$&?$^*%$!$^#!	?*!%?!%&*&^%?!^%\n*&!$&?$^*%$!$^#!
CN	movie1	0	1897	47	26	*	0x801C3A04	EN	Oh, here we go again.	额，他又开始了。
CN	movie1	0	1944	25	27	*	0x801C39F8	EN	Let's go!	我们走！
CN	movie1	0	1969	21	28	*	0x801C39EC	EN	Bye now!	拜拜了您内！
CN	movie1	0	1990	30	29	*	0x801C39E4	EN	Bye!	再见！
CN	movie1	0	2032	137	30	*	0x801C39BC	EN	Wow... I need to become a hero, too!	哇……我也必须成为大英雄才行！
CN	movie1	0	2297	58	31	*	0x801C39B4	EN	Hmmm...	唔……
CN	movie1	0	2355	103	32	*	0x801C3990	EN	But how could I possibly do that?	但我到底该怎么做呢？
CN	movie1	0	2458	44	33	*	0x801C3980	EN	Yeah! I know!	对了！我想到了！
CN	movie1	0	2502	88	34	*	0x801C396C	EN	I gotta believe!	我必须要坚信！
CN	movie1	0	2751	100	35	*	0x801C394C	EN	Welcome to the Fruites Dojo.	欢迎来到水果道场。
CN	movie1	0	2871	101	36	*	0x801C391C	EN	I trust that you are here\nto redeem yourself	我深信你来到这里\是为了完成自我蜕变，
CN	movie1	0	2972	115	37	*	0x801C38E0	EN	and to acquire skills\nthat are necessary for your goals.	并习得为了达成目标\n所必须的武艺。
CN	movie1	0	3111	88	38	*	0x801C38C4	EN	Are you ready, young one?	准备好了吗，年轻的传人？
CN	movie1	0	3171	74	39	*	0x801C38A8	EN	I shall give you my best.	我会倾囊相授。
CN	movie1	0	3243	66	40	*	0x801C3888	EN	But first, let's see if you can	但首先，让我看看你是否有胆量
CN	movie1	0	3309	94	41	*	0x801C3870	EN	challenge my rap......	挑战我的说唱……
CN	common	0	3	80	1	*	0x801C3D30	EN	I need to become a hero!	我必须变成真正的大英雄！
CN	common	0	242	67	2	*	0x801C3D28	EN	Scram!!	滚开！！
CN	common	0	309	30	3	*	0x801C3D20	EN	Yeah!	没错！
CN	common	0	387	85	4	*	0x801C3CFC	EN	Well, well.\nWhat do we have here...	哟，瞧瞧，\n这是谁在这儿呢……
CN	common	0	472	86	5	*	0x801C3CD0	EN	Plenty of munchies\nfor everyone, right??	这么多好吃的，\n见者有份，对吧？？
CN	common	0	558	30	6	*	0x801C3D20	EN	Yeah!	错！
CN	common	0	600	56	7	*	0x801C3CA8	EN	Not only munchies\nbut a little babe,	不光有点心，\n还有个漂亮小妞，
CN	common	0	656	75	8	*	0x801C3C7C	EN	all dressed up for us,\nain't that right??	特意为哥几个打扮的，\n是不是啊？？
CN	common	0	731	34	9	*	0x801C3C74	EN	Right!!	没错！！
CN	common	0	764	30	10	*	0x801C3C60	EN	What do you say?	怎么样？
CN	common	0	794	100	11	*	0x801C3C24	EN	How about if you and I go\nfor a little walk outside, huh?	要不你跟哥哥我\n去外面散个小步，哈？
CN	common	0	894	81	12	*	0x801C3BFC	EN	Let the punks stay\nand eat their food!	让那群软蛋留在这儿\n吃他们的剩饭去吧！
CN	common	0	975	43	13	*	0x801C3BF0	EN	Stop it!	住手！
CN	common	0	1048	45	14	*	0x801C3BD4	EN	There is no need to fear!!	根本无需恐惧！！
CN	common	0	1217	86	15	*	0x801C3BB8	EN	Because Joe Chin is here!!	因为本大爷乔伊·陈闪亮登场！！
